city,temperature,timestamp
Sydney,-6.8,2025-04-12T11:50:28.324531
Tokyo,0.8,2026-01-21T11:50:28.324531
Tokyo,28.4,2025-12-18T11:50:28.324531
Sydney,23.0,2025-12-19T11:50:28.324531
Sydney,27.2,2025-12-29T11:50:28.324531
London,9.4,2025-02-21T11:50:28.324531
Tokyo,17.4,2025-04-09T11:50:28.324531
New York,-0.9,2025-03-17T11:50:28.324531
Sydney,18.8,2025-12-21T11:50:28.324531
London,23.7,2025-03-17T11:50:28.324531
Paris,0.5,2025-03-21T11:50:28.324531
Paris,0.7,2025-10-13T11:50:28.324531
London,18.2,2025-04-08T11:50:28.324531
Tokyo,-6.5,2025-12-04T11:50:28.324531
London,19.2,2025-04-09T11:50:28.324531
Paris,23.1,2025-12-05T11:50:28.324531
New York,-5.1,2025-09-30T11:50:28.324531
Paris,34.3,2025-11-08T11:50:28.324531
Tokyo,-6.7,2025-07-02T11:50:28.324531
London,-0.3,2025-10-08T11:50:28.324531
Tokyo,6.9,2025-05-13T11:50:28.324531
Paris,-0.7,2025-06-14T11:50:28.324531
Paris,1.2,2025-02-21T11:50:28.324531
London,23.0,2025-09-09T11:50:28.324531
Tokyo,29.9,2026-02-03T11:50:28.324531
New York,21.6,2026-01-10T11:50:28.324531
Tokyo,7.0,2026-01-06T11:50:28.324531
Sydney,16.0,2025-07-21T11:50:28.324531
London,25.6,2025-07-07T11:50:28.324531
London,3.9,2025-02-12T11:50:28.324531
Tokyo,14.9,2025-04-29T11:50:28.324531
London,8.7,2025-02-20T11:50:28.324531
Tokyo,24.9,2025-12-31T11:50:28.324531
London,2.7,2025-09-05T11:50:28.324531
New York,30.2,2025-12-23T11:50:28.324531
Sydney,-8.9,2025-08-06T11:50:28.324531
New York,3.6,2026-01-21T11:50:28.324531
Sydney,31.6,2026-01-13T11:50:28.324531
Paris,7.4,2025-10-23T11:50:28.324531
Tokyo,2.4,2025-07-23T11:50:28.324531
New York,-8.4,2025-11-02T11:50:28.324531
Sydney,28.1,2025-09-26T11:50:28.324531
New York,14.4,2025-09-25T11:50:28.324531
Sydney,-0.8,2026-01-06T11:50:28.324531
New York,19.3,2025-07-21T11:50:28.324531
London,12.2,2025-03-03T11:50:28.324531
Tokyo,6.3,2025-06-24T11:50:28.324531
Sydney,7.0,2025-07-10T11:50:28.324531
Tokyo,-8.3,2025-10-21T11:50:28.324531
Paris,28.4,2025-05-03T11:50:28.324531
Sydney,-1.2,2025-03-19T11:50:28.324531
New York,16.4,2025-03-05T11:50:28.324531
London,23.3,2025-08-21T11:50:28.324531
London,29.6,2025-10-14T11:50:28.324531
Tokyo,28.5,2025-12-25T11:50:28.324531
Sydney,19.2,2026-01-09T11:50:28.324531
Paris,4.4,2025-09-26T11:50:28.324531
New York,-3.4,2025-08-20T11:50:28.324531
New York,-5.9,2025-03-06T11:50:28.324531
Sydney,-9.7,2025-05-31T11:50:28.324531
New York,6.8,2025-06-01T11:50:28.324531
London,-7.1,2025-12-09T11:50:28.324531
New York,12.4,2025-04-24T11:50:28.324531
Paris,29.7,2025-09-30T11:50:28.324531
Tokyo,-6.9,2025-08-23T11:50:28.324531
New York,15.0,2025-09-01T11:50:28.324531
London,18.2,2025-10-03T11:50:28.324531
London,33.1,2025-12-02T11:50:28.324531
Paris,25.2,2025-04-19T11:50:28.324531
Tokyo,25.7,2025-12-30T11:50:28.324531
New York,15.6,2025-03-30T11:50:28.324531
New York,0.1,2025-07-25T11:50:28.324531
Paris,-0.2,2025-02-26T11:50:28.324531
London,34.1,2025-04-16T11:50:28.324531
London,4.2,2025-04-02T11:50:28.324531
Paris,1.1,2025-09-24T11:50:28.324531
Paris,12.8,2025-03-05T11:50:28.324531
Sydney,9.3,2025-10-07T11:50:28.324531
Tokyo,12.0,2025-07-23T11:50:28.324531
London,20.6,2026-02-08T11:50:28.324531
Paris,17.9,2025-08-11T11:50:28.324531
London,-7.0,2026-01-07T11:50:28.324531
Paris,6.1,2025-11-05T11:50:28.324531
Paris,21.2,2025-07-18T11:50:28.324531
London,3.4,2025-03-31T11:50:28.324531
Paris,23.9,2025-09-12T11:50:28.324531
Paris,12.3,2025-12-14T11:50:28.324531
Paris,-1.9,2025-05-10T11:50:28.324531
Paris,8.8,2025-10-26T11:50:28.324531
